period_id,fort_id,start_year,end_year,period_type,period_notes,period_order,name_primary,state_territory
1739,1434,1653,,,,0,Simon Willard's Trading Post,NH
1703,1399,1663,1664,,,0,Sokoki Indian Fort,NH
1683,1383,,,,Unparsed: unknown date,0,Stephen Green's Garrison,NH
1693,1392,1768,,,,0,Stratford Fort,NH
1694,1392,1775,,,,1,Stratford Fort,NH
1679,1379,,,,Unparsed: various dates,0,Stratham Garrison Houses,NH
1727,1423,1747,,,,0,Suncook Fort,NH
1728,1423,1753,,,,1,Suncook Fort,NH
1702,1398,1738,1747,,,0,Swanzey Garrison Houses,NH
1706,1402,1736,,,,0,Weirs Blockhouse,NH
1699,1396,1730,,,,0,Westmoreland Forts,NH
1700,1396,1740,,,,1,Westmoreland Forts,NH
1704,1400,1744,1745,,,0,Winchester Garrison Houses,NH
1751,1446,1756,,,,0,Adam Dingman's Fort,NJ
1755,1450,1750,,,,0,Anthony Westbrook's Fort,NJ
1763,1458,1776,1782,,,0,Bergen Neck Fort,NJ
1759,1454,1780,1783,,,0,Bull's Ferry Fort,NJ
1781,1476,1758,1780,,,0,Burlington Barracks,NJ
1782,1477,1830,,,,0,Burlington Cantonment,NJ
1790,1485,1942,1943,,,0,Camp Belleplain,NJ
1783,1478,1860,,,,0,Camp Cadwallader,NJ
1769,1464,1860,,,,0,Camp Fair Oaks,NJ
1766,1461,1860,,,,0,Camp Frelinghuysen,NJ
1760,1455,1860,,,,0,Camp Hoboken,NJ
1767,1462,1917,1919,,,0,Camp Kearny,NJ
1771,1466,1918,1919,,,0,Camp Morgan,NJ
1784,1479,1860,,,,0,Camp Ruff,NJ
1787,1482,1860,,,,0,Camp Stockton,NJ
1774,1469,1860,,,,0,Camp Vredenburg,NJ
1777,1472,1846,,,,0,Camp Washington,NJ
1789,1484,1917,1919,,,0,Camp Wissahickon,NJ
1757,1452,1898,,,,0,Camp at Pompton Lakes,NJ
1752,1447,1758,,,,0,Carmer's Fort,NJ
1749,1444,1756,,,,0,Col. Abraham Van Campen's Fort,NJ
1768,1463,1952,1958,,,0,Cold War AAA Defenses of New York City,NJ
1785,1480,1952,1958,,,0,Cold War AAA Defenses of Philadelphia,NJ
1764,1459,1758,1779,,,0,Elizabethtown Barracks,NJ
1765,1460,1837,,,,0,Elizabethtown Cantonment,NJ
1747,1442,1756,,,,0,Ellison's Fort,NJ
1761,1456,1660,1664,,,0,Fort Bergen,NJ
1791,1486,1776,1778,,,0,Fort Fox Burrows,NJ
1778,1473,1847,,,,0,Fort Rawnsley,NJ
1745,1440,1756,,,,0,Fort Reading,NJ
1750,1445,1756,,,,0,Fort Walpack,NJ
1754,1449,,,,Unparsed: unknown,0,Fortress of t'Schickte-wacki,NJ
1780,1475,1624,1626,,,0,Matinicunk Island Fort,NJ
1746,1441,1756,,,,0,McMurtie's Fort,NJ
1772,1467,1675,,,,0,Middletown Blockhouse,NJ
1748,1443,1758,,,,0,New Fort,NJ
1753,1448,1756,1760,,,0,Normanock Fort,NJ
1773,1468,1942,1945,,,0,Oakhurst Radar Station,NJ
1762,1457,1776,1783,,,0,Paulus Hook Fort,NJ
1776,1471,1917,1919,,,0,Princeton Army Ground School,NJ
1770,1465,1918,1964,,,0,Raritan Arsenal,NJ
1788,1483,1630,,,,0,Salem Creek Fort,NJ
1756,1451,1750,,,,0,Samuel Brink's Fort,NJ
1758,1453,1780,1782,,,0,Tappan Encampment,NJ
1775,1470,1776,1782,,,0,Tom's River Blockhouse,NJ
1779,1474,1860,,,,0,Trenton Civil War Camps,NJ
1786,1481,1777,,,,0,Woodbury Island Battery,NJ
3959,3498,1856,,,,0,Camp Blake,NM
3958,3497,1885,1886,,,0,Camp Boyd,NM
3954,3494,1858,1859,,,0,Camp Comfort,NM
3952,3492,1862,,,,0,Camp Connelly,NM
3962,3500,1885,1886,,,0,Camp Datil,NM
3960,3499,1854,,,,0,Camp Johnson,NM
3961,3499,1862,,,,1,Camp Johnson,NM
3950,3490,1904,1945,,,0,Camp Luna,NM
3956,3496,1859,1861,,,0,Camp Ojo Caliente,NM
3957,3496,1877,1882,,,1,Camp Ojo Caliente,NM
3955,3495,1861,,,,0,Camp at Alamosa,NM
3951,3491,1862,,,,0,Camp at Johnson's Ranch,NM
3949,3489,1861,,,,0,Fort Butler,NM
3953,3493,1851,1854,,,0,Fort Conrad,NM
3965,3502,1936,1945,,,0,Other Islands,NM
3963,3501,1886,,,,0,U.S. Army Heliograph Stations,NM
3964,3501,1889,1890,,,1,U.S. Army Heliograph Stations,NM
3969,3506,1864,,,,0,Antelope Station,NV
3966,3503,1862,,,,0,Camp (near) Aurora,NV
3970,3507,1941,1944,,,0,Camp Williston,NV
3967,3504,1866,1871,,,0,Camp Winfield Scott,NV
3968,3505,1860,1869,,,0,Fort Schellbourne,NV
1812,1504,1781,,,,0,Abram Bevier's House,NY
1926,1609,1790,,,,0,Alexander McIntyre's Fort,NY
1948,1630,1400,,,Approximate date,0,Algonkin Indian Fort,NY
1832,1522,1630,1664,,,0,Amersfort Blockhouse,NY
1969,1649,1812,1813,,,0,Auburn Barracks,NY
1918,1602,1813,,,,0,Bartlett's Point Battery,NY
1899,1583,,,,Unparsed: pre-contact ?,0,Berne Indian Stockade,NY
1954,1636,1794,,,,0,Blockhouse at Swift's Landing,NY
1833,1523,1662,1664,,,0,Boswyck Blockhouses,NY
1942,1624,1862,,,,0,Camp Church,NY
1806,1498,1862,,,,0,Camp Delaware,NY
1868,1556,1862,,,,0,Camp Dutchess,NY
1951,1633,1862,,,,0,Camp Fitz-John Porter,NY
1878,1566,1777,,,,0,Camp Greenburgh,NY
1879,1566,1781,,,,1,Camp Greenburgh,NY
1855,1543,1898,,,,0,Camp Hardin,NY
1813,1505,1862,,,,0,Camp Holley,NY
1882,1569,1898,,,,0,Camp Jewett,NY
1930,1613,1898,,,,0,Camp Joseph W. Plume,NY
1952,1634,1898,,,,0,Camp Otis,NY
1838,1527,1860,,,,0,Camp Riker,NY
1876,1564,1917,1919,,,0,Camp Rose,NY
1845,1534,1898,,,,0,Camp Slayton,NY
1852,1540,1860,,,,0,Camp Strong,NY
1913,1597,1917,1919,,,0,Camp Syracuse,NY
1844,1533,1898,,,,0,Camp Walworth,NY
1805,1497,1861,1862,,,0,Camp Washington,NY
1869,1557,1916,,,,0,Camp Whitman,NY
1962,1642,1789,,,,0,Canandaigua Blockhouse,NY
1917,1601,1812,1814,,,0,Cape Vincent Barracks,NY
1864,1552,1770,,,,0,Capt. Frederick Schoonmaker's Fort,NY
1896,1580,1776,,,,0,Capt. Teunis Swart's Fort,NY
1974,1654,1615,,,,0,Carantonan,NY
1858,1546,,,,Unparsed: unknown dates,0,Casteel Hoogte,NY
1859,1547,1776,1783,,,0,Catskill Fort,NY
1902,1586,1781,,,,0,Cedar Swamp Camp,NY
1949,1631,1807,,,,0,Charles Hanford's Blockhouse,NY
1931,1614,1812,1813,,,0,Cheektowaga Barracks,NY
1903,1587,1756,,,,0,Cherry Valley Stockade,NY
1821,1513,1761,1763,,,0,Cochecton Post,NY
1846,1535,1951,1957,,,0,Cold War AAA Defenses of New York City,NY
1941,1623,1951,1957,,,0,Cold War AAA Defenses of Niagara Falls,NY
1907,1591,1777,,,,0,Cooperstown Blockhouses,NY
1972,1652,1917,1919,,,0,Cornell Army Ground School,NY
1867,1555,1705,,,,0,Daniel Dubois' Fort,NY
1843,1532,1814,1815,,,0,Decatur Blockhouse,NY
1810,1502,1757,1764,,,0,Deyo's Hill Blockhouse,NY
1883,1570,1780,1783,,,0,Dobbs' Ferry Blockhouse,NY
1880,1567,1776,1783,,,0,Dobbs' Ferry Forts,NY
1823,1515,1609,,,,0,Dutch Supply Post,NY
1824,1515,1610,,,,1,Dutch Supply Post,NY
1792,1487,1814,,,,0,East Battery,NY
1796,1491,1811,1848,,,0,Elizabethtown Arsenal,NY
1976,1656,1861,1865,,,0,Elmira Civil War Camps,NY
1904,1588,1778,1780,,,0,Fort Alden,NY
1968,1648,1200,,,Approximate date,0,Fort Alleghan,NY
1799,1493,1692,1780,,,0,Fort Anne (3),NY
1800,1493,,,,Unparsed: intermittent,1,Fort Anne (3),NY
1895,1579,1775,1783,,,0,Fort Ballston,NY
1950,1632,1814,,,,0,Fort Bender,NY
1905,1589,1777,1778,,,0,Fort Campbell,NY
1909,1593,1756,1760,,,0,Fort Canaseraga,NY
1960,1640,1779,,,,0,Fort Cummings (1),NY
1815,1507,1757,,,,0,Fort Devens,NY
1862,1550,1658,1677,,,0,Fort Esopus,NY
1894,1578,1778,,,,0,Fort Fisher,NY
1884,1571,1778,1783,,,0,Fort Franklin,NY
1853,1541,1702,1765,,,0,Fort Frederick,NY
1911,1595,1756,,,,0,Fort Ganaghsaraga,NY
1819,1511,1756,,,,0,Fort Gardiner,NY
1825,1516,1625,1790,,,0,Fort George (1),NY
1916,1600,1755,1756,,,0,Fort George (2),NY
1936,1618,1812,1813,,,0,Fort Gray,NY
1851,1539,,1691,,Ambiguous: 1689/1691,0,Fort Half-Moon (1),NY
1925,1608,1813,1814,,,0,Fort Hickory,NY
1927,1610,1813,1814,,,0,Fort Humphrey,NY
1872,1560,1776,1777,,,0,Fort Independence (2),NY
1922,1605,,,,Unparsed: unknown,0,Fort Jackson,NY
1937,1619,1719,1750,,,0,Fort Joncaire,NY
1963,1643,1756,1779,,,0,Fort Kanadesaga,NY
1873,1561,1779,1783,,,0,Fort Lafayette (1),NY
1841,1530,1812,1868,,,0,Fort Lafayette (2),NY
1801,1494,1755,,,,0,Fort Miller (1),NY
1802,1494,1777,,,,1,Fort Miller (1),NY
1898,1582,1691,1712,,,0,Fort Niskayuna,NY
1978,1658,1757,1778,,,0,Fort Oghwaga,NY
1870,1558,1777,,,,0,Fort Plum Point,NY
1975,1655,1779,,,,0,Fort Reid,NY
1803,1495,1704,1713,,,0,Fort Saraghtoga,NY
1850,1538,1703,1776,,,0,Fort Schaghticoke,NY
1888,1574,1777,1778,,,0,Fort Setauket,NY
1808,1500,1778,,,,0,Fort Shandaken,NY
1797,1492,1759,1783,,,0,Fort Skenesborough,NY
1798,1492,1814,1815,,,1,Fort Skenesborough,NY
1887,1573,1778,,,,0,Fort Slongo,NY
1847,1536,1620,,,,0,Fort St. Croix,NY
1848,1536,1750,,,,1,Fort St. Croix,NY
1839,1528,1814,1815,,,0,Fort Stevens,NY
1929,1612,,,,Unparsed: unknown dates,0,Fort Suppose,NY
1816,1508,1750,,,,0,Fort Westbrook,NY
1920,1604,1760,1761,,,0,Fort William Augustus,NY
1921,1604,1814,,,,1,Fort William Augustus,NY
1804,1496,1775,1777,,,0,Fort Williams (3),NY
